Id,Designator,Package,Quantity,Designation,Supplier and ref
1,REF**,Wuerth_36503205_20x20mm,1,Wuerth_36503205_20x20mm,732-11659-ND
2,"C4,C1,C2,C5,C6,C7,C9,C10",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,8,0.1uF,478-11911-1-ND
3,C3,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,C,478-11911-1-ND
4,"C8,C11",1210_GND_PAD,2,EMI_Filter_C,1292-1110-1-ND
5,D1,D_SOD-323,1,D,NSR0530HT1GOSCT-ND
6,D2,D_SOD-123,1,D_Zener_0.3Z,MM3Z3V3BTR-ND
7,J1,JST_ZE_SM03B-ZESS-TBT_1x03-1MP_P1.50mm_Horizontal,1,Conn_01x03_Female,455-2396-6-ND
8,"J2,J4",SMA_Amphenol_132289_EdgeMount,2,Conn_Coaxial,CON-SMA-EDGE-S-ND
9,J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,
10,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
11,"L1,L2,L3,L4",L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,4,820uH,495-1984-2-ND
12,"Q1,Q2",SC-59_Handsoldering,2,2N3904,1727-2919-1-ND
13,R1,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,400,YAG4897CT-ND
14,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,R,311-6.04KCRCT-ND
15,"U1,U2,U3",SOT-363_SC-70-6,3,BGA2869,568-8535-1-ND
,,,,JST connector,455-2412-ND
